username,date,merchant,category,amount,recurring
john_doe,2026-01-03,Amazon Prime,Subscription,-14.99,true
john_doe,2026-01-03,Shell Gas Station,Transportation,-58.50,false
john_doe,2026-01-05,Chevron,Transportation,-65.20,false
john_doe,2026-01-07,Panera Bread,Dining,-24.35,false
john_doe,2026-01-08,Starbucks,Dining,-12.50,false
john_doe,2026-01-09,Chipotle,Dining,-18.75,false
john_doe,2026-01-10,CVS Pharmacy,Health,-45.67,false
john_doe,2026-01-11,New York Times,Subscription,-29.99,true
john_doe,2026-01-12,Walgreens,Health,-32.50,false
john_doe,2026-01-13,Apple iCloud,Subscription,-9.99,true
john_doe,2026-01-14,Olive Garden,Dining,-56.75,false
john_doe,2026-01-15,Shell Gas Station,Transportation,-62.00,false
john_doe,2026-01-16,Best Buy,Electronics,-299.99,false
john_doe,2026-01-17,Uber,Transportation,-18.50,false
john_doe,2026-01-18,Lyft,Transportation,-22.75,false
john_doe,2026-01-19,Costco,Groceries,-167.43,false
john_doe,2026-01-20,Home Depot,Home Improvement,-134.67,false
john_doe,2026-01-21,Adobe Creative Cloud,Subscription,-29.99,true
john_doe,2026-01-22,Chick-fil-A,Dining,-15.25,false
john_doe,2026-01-23,Panda Express,Dining,-19.80,false
john_doe,2026-01-24,Chevron,Transportation,-55.30,false
john_doe,2026-01-25,ACME Corp,Unknown,-499.00,false
john_doe,2026-01-26,Target,Shopping,-87.32,false
john_doe,2026-01-27,AMC Theaters,Entertainment,-45.00,false
john_doe,2026-01-28,Barnes & Noble,Shopping,-42.50,false
john_doe,2026-01-29,Dominos Pizza,Dining,-28.50,false
john_doe,2026-01-30,Shell Gas Station,Transportation,-60.00,false
john_doe,2026-02-01,Starbucks,Dining,-11.25,false
john_doe,2026-02-02,Shell Gas Station,Transportation,-58.00,false
john_doe,2026-02-03,Amazon Prime,Subscription,-14.99,true
john_doe,2026-02-04,Panera Bread,Dining,-26.50,false
john_doe,2026-02-05,Chipotle,Dining,-17.25,false
john_doe,2026-02-06,CVS Pharmacy,Health,-28.90,false
john_doe,2026-02-07,Uber,Transportation,-15.75,false
john_doe,2026-02-08,Chevron,Transportation,-63.40,false
john_doe,2026-02-09,Target,Shopping,-95.60,false
john_doe,2026-02-10,Olive Garden,Dining,-62.50,false
john_doe,2026-02-11,New York Times,Subscription,-29.99,true
john_doe,2026-02-12,Home Depot,Home Improvement,-78.45,false
john_doe,2026-02-13,Apple iCloud,Subscription,-9.99,true
john_doe,2026-02-14,Flowers.com,Gifts,-89.99,false
john_doe,2026-02-15,Shell Gas Station,Transportation,-61.00,false
john_doe,2026-02-16,Starbucks,Dining,-13.75,false
john_doe,2026-02-17,Lyft,Transportation,-19.50,false
john_doe,2026-02-18,Costco,Groceries,-189.75,false
john_doe,2026-02-19,Best Buy,Electronics,-125.50,false
john_doe,2026-02-20,Chick-fil-A,Dining,-16.80,false
john_doe,2026-02-21,Adobe Creative Cloud,Subscription,-29.99,true
john_doe,2026-02-22,Walgreens,Health,-41.20,false
john_doe,2026-02-23,Chevron,Transportation,-59.50,false
john_doe,2026-02-24,Target,Shopping,-102.35,false
john_doe,2026-02-25,AMC Theaters,Entertainment,-52.00,false
jane_smith,2026-01-02,Shell Gas Station,Transportation,-72.00,false
jane_smith,2026-01-03,Whole Foods,Groceries,-156.40,false
jane_smith,2026-01-04,Disney Plus,Subscription,-13.99,true
jane_smith,2026-01-05,Starbucks,Dining,-15.50,false
jane_smith,2026-01-06,Chevron,Transportation,-68.00,false
jane_smith,2026-01-07,Erewhon Market,Groceries,-245.80,false
jane_smith,2026-01-08,The Cheesecake Factory,Dining,-78.50,false
jane_smith,2026-01-09,CVS Pharmacy,Health,-52.30,false
jane_smith,2026-01-10,Sephora,Shopping,-145.60,false
jane_smith,2026-01-11,Shell Gas Station,Transportation,-70.00,false
jane_smith,2026-01-12,Nordstrom,Shopping,-389.00,false
jane_smith,2026-01-13,Starbucks,Dining,-14.25,false
